Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C7, C8, C9",0805,4,22uF,
"C10, C11, C12, C13, C14, C2, C5",0805,7,0.1uF,
C3,0805,1,1uF,
C4,0805,1,10nF,
C6,0805,1,10uF,
"J1, J2, J3, J4",SolderWirePad_1x01_SMD_5x10mm,4,Conn_01x01_Pin,
J5,PinHeader_2x05_P2.54mm_Vertical,1,Conn_01x10,
J6,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
"LED1, LED2, LED3, LED4, LED5",LED-SMD_4P-L5.0-W5.0-TL-1,5,WS2812B-V5/W,C2874885
"P1, P2",CONN-TH_2P-P5.00_WJ301V-5.00-2P,2,WJ301V-5.0-2P,C8475
R10,0805,1,330k,
R11,0805,1,33k,
R12,0805,1,56k,
R13,0805,1,4.7k,
"R14, R16",0805,2,5.1k,
"R15, R17, R18, R3, R5, R6, R7, R8",0805,8,10k,
R4,0805,1,220R,
R9,0805,1,22k,
"SW1, SW2",SW-SMD_4P-L4.2-W3.2-P2.15-LS4.6,2,RKB2SJK250SMTRLFS,C2927789
"SW6, SW7, SW8",KEY-SMD_4P-L5.2-W5.2-P3.7-LS6.4-TL,3,TS-1076S-A7B3,C492950
"TP1, TP10, TP11, TP2, TP20, TP21, TP22, TP23, TP24, TP25, TP26, TP27, TP3, TP4, TP5, TP6, TP7, TP8, TP9",TestPoint_Pad_D1.0mm,19,TestPoint,
U1,WIRELM-SMD_ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1(N16R2),C2913205
U2,PG-HSOF-8_L10.4-W9.8-BTH500151LUAAUMA1,1,BTH500151LUAAUMA1,C36571656
U3,SOT-223-4_L6.5-W3.5-P2.30-LS7.0-BR,1,LD1117S33CTR,C35879
"U4, U5",SC-70-5_L2.0-W1.3-P0.65-LS2.1-BL,2,SN74AHCT1G125DCKR,C350557
U8,PWRM-TH_L11.7-W7.5_TSR1-2450,1,TSR 1-2450_C6886877,C6886877
U9,USB-SMD_TYPE-C16PIN-1,1,12402012E212A,C5150972
