Designator,Mid X,Mid Y,Rotation,Layer
C1,162.09,-102.45,270.0,top
C10,187.925,-67.175,90.0,top
C11,193.775,-73.4,0.0,top
C12,193.775,-81.2,0.0,top
C13,193.775,-89.0,0.0,top
C14,193.775,-96.8,0.0,top
C2,160.09,-102.45,270.0,top
C3,164.59,-94.05,90.0,top
C4,117.0,-73.5,180.0,top
C5,158.85,-81.73,270.0,top
C6,163.31,-87.08,180.0,top
C7,141.07,-79.0,270.0,top
C8,187.92,-71.68,90.0,top
C9,187.92,-75.54,270.0,top
J5,151.39,-63.28,90.0,top
J6,130.68,-82.125,270.0,top
LED1,193.78,-69.5,0.0,top
LED2,193.78,-77.3,0.0,top
LED3,193.78,-85.1,0.0,top
LED4,193.78,-92.9,0.0,top
LED5,193.78,-100.7,0.0,top
P1,138.31,-65.49,180.0,top
P2,128.3,-65.5,180.0,top
R10,130.0,-86.0,0.0,top
R11,148.55,-70.5,0.0,top
R12,148.55,-72.5,0.0,top
R13,122.53,-79.4,90.0,top
R14,127.68,-100.88,270.0,top
R15,159.74,-67.55,270.0,top
R16,138.25,-109.25,270.0,top
R17,159.74,-71.4,90.0,top
R18,159.74,-75.27,270.0,top
R3,164.59,-97.95,90.0,top
R4,164.0,-70.75,90.0,top
R5,136.25,-97.75,180.0,top
R6,136.25,-100.0,0.0,top
R7,136.25,-102.25,0.0,top
R8,124.2,-72.0,270.0,top
R9,130.0,-88.0,0.0,top
SW1,136.69,-86.04,270.0,top
SW2,160.95,-95.89,270.0,top
SW6,177.19,-100.2,0.0,top
SW7,177.19,-90.1,0.0,top
SW8,177.19,-71.75,270.0,top
U1,148.84,-95.81,180.0,top
U2,115.53,-81.82,180.0,top
U3,163.29,-81.38,270.0,top
U4,142.0,-71.4,90.0,top
U5,164.0,-75.0,0.0,top
U8,133.3,-78.0,0.0,top
U9,132.0,-107.98,0.0,top
